Easting,Northing,Observations
259607,2146565,530.0
259696,2146558,745.0
259823,2146543,900.0
259894,2146658,395.0
259897,2146279,860.0
260093,2146602,440.0
260128,2146392,272.0
260135,2146046,455.0
260185,2148629,205.0
260250,2146159,196.99999999999997
260290,2146578,265.0
260462,2148785,190.0
260551,2146707,365.0
260663,2148318,335.0
260794,2148225,125.0
260815,2149409,90.0
260827,2148935,270.0
260962,2149233,65.0
261048,2149103,445.0
261059,2147426,85.0
261185,2148285,90.0
261278,2148951,165.0
261412,2148181,70.0
261424,2149569,100.0
261493,2149161,105.0
261548,2147602,120.0
261637,2147855,240.0
261740,2147605,40.0
261766,2147424,140.0
261791,2149328,100.0
262179,2147631,60.0
262179,2147957,75.0
262230,2148173,100.0
263157,2147996,30.0
