Easting,Northing,Observations
519877,1378201,26.913708640942108
520715,1378964,51.48932898944914
520742,1379432,68.86654930208925
520892,1381127,71.59003676360702
520990,1380130,66.78539378904266
521505,1378499,117.51677107929582
521537,1376665,38.28298412888185
521642,1379304,73.48277490510208
521747,1377510,107.23945990375707
521894,1380712,73.11878680096841
521902,1382109,30.515049765370478
522118,1379921,67.2478727919419
522302,1377932,61.11574379053711
522453,1381550,63.25685028544102
522536,1378550,157.18291000388558
522559,1376999,5.331355172310727
522646,1380659,123.56325582090446
522674,1379481,37.02
522806,1377761,62.914273246256386
523174,1379228,107.18807334787937
523387,1382182,82.65527512927041
523595,1379462,70.36
523722,1381349,118.2276184356039
523856,1377173,16.340924769106614
523894,1377922,101.9466446483546
523973,1380489,168.83
523983,1378749,105.37669725319067
524400,1382378,118.15910302776699
524433,1381454,166.62
524505,1380950,107.05
524516,1379866,144.53
524591,1377489,45.99953193651553
524826,1378577,121.8418061990017
525162,1380976,255.77
525477,1380291,164.61
525544,1381476,128.81
525564,1377877,140.56792360343127
525759,1378887,96.44400095645157
525760,1382320,65.50072989210031
525983,1379744,97.12
526028,1380972,48.62
526109,1380543,193.95
526416,1382894,337.11
526524,1381709,225.68
526617,1379772,274.83671189885524
526664,1378620,140.83342080879936
526774,1381087,184.96
526823,1381601,243.91
526899,1379123,137.54896344561675
527021,1381806,231.71054487850077
527137,1380167,290.9035750366142
527524,1380945,315.89028783214275
527536,1383362,240.74601428699526
527796,1382127,357.86453955823896
527927,1379208,186.006485638282
528142,1381657,421.0
528159,1380191,393.8907974414921
528574,1379238,92.37161640314434
528622,1380874,613.6154281615208
528675,1382740,179.53177959769258
528763,1384430,49.94345010012852
528975,1383175,164.21430373315002
529139,1380417,356.2415808351018
529451,1381172,641.8223651253849
529666,1383245,106.16
529889,1379931,246.92
530232,1382772,99.09
530293,1381534,801.7972779986252
530418,1383102,322.57482230923273
530429,1379430,146.8927521893774
530518,1380992,265.59569626685
530597,1380732,254.13
531058,1380228,41.88860746630002
531201,1381246,143.34
531371,1382795,238.85
