Easting,Northing,Observations
526774,1381087,184.96
526028,1380972,48.62
525477,1380291,164.61
524516,1379866,144.53
523595,1379462,70.36
522674,1379481,37.02
523973,1380489,168.83
525162,1380976,255.77
525544,1381476,128.81
529889,1379931,246.92
526823,1381601,243.91
526524,1381709,225.68
524433,1381454,166.62
528142,1381657,421.0
530232,1382772,99.09
531371,1382795,238.85
529666,1383245,106.16
526109,1380543,193.95
525983,1379744,97.12
530597,1380732,254.13
531201,1381246,143.34
524505,1380950,107.05
526416,1382894,337.11
