#HEIGHT SPEED DIRECTION
118.074768 7.708217 236.035553
335.945404 7.961554 236.022675
558.901306 8.051774 235.119141
786.700317 7.783147 234.240753
1019.777893 7.234748 231.672043
1503.262207 6.488403 221.833374
2011.266724 5.552340 207.491089
2547.719727 3.938989 188.656326
3117.496582 3.164455 158.079834
3725.020996 3.453104 133.223389
4374.957520 3.691681 125.182831
5072.467285 3.956930 122.731323
5824.569824 4.232393 118.743469
6640.767090 4.835034 113.945190
7533.209473 6.171244 107.898743
8519.021484 8.787835 106.139526
9623.016602 12.861149 105.374634
10881.843750 17.091188 103.684265
12352.852539 21.151083 103.530151
14139.297852 23.246260 102.590912
16499.388672 18.444319 95.810608
18566.703125 6.340277 91.279785
20575.449219 3.173882 284.742615
23715.759766 9.694870 270.701447
26300.945312 10.296634 268.338593
30891.306641 7.580730 270.023499
35744.804688 5.371642 281.813660
48213.957031 22.080153 283.164429
