#HEIGHT SPEED DIRECTION
123.205933 7.494634 238.522797
340.987671 7.643074 238.318298
563.827759 7.761886 237.593674
791.329224 7.543481 236.238770
1024.052856 7.011244 233.586426
1506.570557 5.950840 227.443115
2013.581909 4.418278 211.729477
2548.868652 3.109747 182.188049
3117.098389 2.881391 141.180603
3723.144531 3.508834 115.623077
4371.931152 4.162863 106.857788
5068.458008 4.552329 107.009460
5819.623535 5.415415 108.875122
6634.467773 6.895461 108.730103
7525.283691 8.879679 106.403961
8509.357422 12.174842 102.616882
9611.697266 17.168451 100.414612
10868.998047 22.229954 99.830627
12337.548828 26.140713 101.314514
14119.327148 28.276173 99.162140
16478.378906 20.242437 97.309418
18556.890625 8.449965 89.288300
20574.931641 2.501746 247.251221
23719.648438 9.935808 268.035522
26305.613281 11.990835 269.281921
30899.849609 9.444070 277.618378
35755.261719 9.381244 284.188812
48078.375000 23.542686 263.318390
