run_id,simulation_id,model,seed,scale_plume_factor,scale_mass_factor,plume_prior_mean,logm_prior_mean,plume_estimate,logm_estimate,best_posterior,runtime_sec,n_iterations,n_burnin,likelihood_sigma,snapshot,acceptance_rate
1,0,mcmc,20260112,2.0,2.0,15000.0,25.328436022934504,17023.352843716737,24.57842576967544,-71.99895629646866,186.80677383416332,10000,0,0.6,1000,0.3054
2,0,mcmc,20260113,2.0,2.0,15000.0,25.328436022934504,17009.475632839403,24.578096776218604,-72.00368947960759,1859.0658925839234,100000,0,0.6,10000,0.30433
9,0,mcmc,20260120,2.0,1.6,15000.0,25.10529247162029,17008.13687931872,24.572643098373888,-71.99291101762347,188.14415254071355,10000,0,0.6,1000,0.3068
10,0,mcmc,20260121,2.0,1.6,15000.0,25.10529247162029,17021.66894343197,24.57900706797415,-71.98449715851652,1880.9712259168737,100000,0,0.6,10000,0.30659
17,0,mcmc,20260128,2.0,1.25,15000.0,24.858432393688766,17023.309509142273,24.584287855523105,-71.97383718939643,189.2847935827449,10000,0,0.6,1000,0.3077
18,0,mcmc,20260129,2.0,1.25,15000.0,24.858432393688766,17024.247252652884,24.579107655154964,-71.97143238282081,1888.5731167499907,100000,0,0.6,10000,0.304
25,0,mcmc,20260136,2.0,1.0,15000.0,24.635288842374557,17020.24073246663,24.57271075174879,-71.96444493008364,189.33351949974895,10000,0,0.6,1000,0.3063
26,0,mcmc,20260137,2.0,1.0,15000.0,24.635288842374557,17023.898962485524,24.582306168270467,-71.96191228969863,1892.2488079578616,100000,0,0.6,10000,0.30747
33,0,mcmc,20260144,2.0,0.8,15000.0,24.412145291060348,17006.74359620424,24.571103711677303,-71.96213390733413,189.0638083750382,10000,0,0.6,1000,0.306
34,0,mcmc,20260145,2.0,0.8,15000.0,24.412145291060348,17022.412670078676,24.577105179948745,-71.95155784100639,1884.950413624756,100000,0,0.6,10000,0.30607
