run_id,simulation_id,model,seed,scale_plume_factor,scale_mass_factor,plume_prior_mean,logm_prior_mean,plume_estimate,logm_estimate,best_posterior,runtime_sec,runs,restarts,T0,alpha,T_end,likelihood_sigma,print_every
5,0,pso,20260116,2.0,2.0,15000.0,25.328436022934504,17022.5496935,24.578954543107542,-71.99837263976734,244.28657679166645,1000,0,1.0,,0.2,0.6,100
6,0,pso,20260117,2.0,2.0,15000.0,25.328436022934504,17022.549692500023,24.578954543006958,-71.99837263954555,1212.9660932081752,1000,4,1.0,,0.2,0.6,100
13,0,pso,20260124,2.0,1.6,15000.0,25.10529247162029,17022.537190500014,24.579116986296764,-71.98408793853498,236.8553318749182,1000,0,1.0,,0.2,0.6,100
14,0,pso,20260125,2.0,1.6,15000.0,25.10529247162029,17022.549692500004,24.578954543007153,-71.98407287277492,1319.144181250129,1000,4,1.0,,0.2,0.6,100
21,0,pso,20260132,2.0,1.25,15000.0,24.858432393688766,17022.560442500006,24.579148384578858,-71.97029521121496,245.95420304173604,1000,0,1.0,,0.2,0.6,100
22,0,pso,20260133,2.0,1.25,15000.0,24.858432393688766,17022.5496925,24.578954543007175,-71.97027696646143,1227.487447541207,1000,4,1.0,,0.2,0.6,100
29,0,pso,20260140,2.0,1.0,15000.0,24.635288842374557,17022.565811500033,24.57859585235031,-71.95976079891341,245.32623837469146,1000,0,1.0,,0.2,0.6,100
30,0,pso,20260141,2.0,1.0,15000.0,24.635288842374557,17022.541365500005,24.578595242038748,-71.95975603141744,1226.4942615828477,1000,4,1.0,,0.2,0.6,100
37,0,pso,20260148,2.0,0.8,15000.0,24.412145291060348,17022.558048500017,24.578876171901886,-71.95116784587366,244.64657749980688,1000,0,1.0,,0.2,0.6,100
38,0,pso,20260149,2.0,0.8,15000.0,24.412145291060348,17022.558048500017,24.578876171901886,-71.95116784587366,1226.515885209199,1000,4,1.0,,0.2,0.6,100
45,0,pso,20260156,2.0,0.64,15000.0,24.18900173974614,17022.565811500004,24.578595852338715,-71.944655376267,246.1735674580559,1000,0,1.0,,0.2,0.6,100
46,0,pso,20260157,2.0,0.64,15000.0,24.18900173974614,17022.54136450002,24.5785952419374,-71.94465059696012,1229.3795655840077,1000,4,1.0,,0.2,0.6,100
53,0,pso,20260164,2.0,0.5,15000.0,23.942141661814613,17022.536764500033,24.578728246309975,-71.93998397314942,245.87528274999931,1000,0,1.0,,0.2,0.6,100
54,0,pso,20260165,2.0,0.5,15000.0,23.942141661814613,17022.536764500033,24.578728246309975,-71.93998397314942,1229.9011639999226,1000,4,1.0,,0.2,0.6,100
61,0,pso,20260172,1.6,2.0,12000.0,25.328436022934504,15448.391336500008,24.490962384221703,-73.15981538425348,249.14089854201302,1000,0,1.0,,0.2,0.6,100
62,0,pso,20260173,1.6,2.0,12000.0,25.328436022934504,15448.391336500008,24.490962384221703,-73.15981538425348,1230.8946700841188,1000,4,1.0,,0.2,0.6,100
69,0,pso,20260180,1.6,1.6,12000.0,25.10529247162029,15448.37085950001,24.490960689067464,-73.14478233227578,247.1795448330231,1000,0,1.0,,0.2,0.6,100
70,0,pso,20260181,1.6,1.6,12000.0,25.10529247162029,15448.3699395,24.490961031265833,-73.14477770781274,1233.3737921249121,1000,4,1.0,,0.2,0.6,100
77,0,pso,20260188,1.6,1.25,12000.0,24.858432393688766,15448.390844500007,24.49076410630654,-73.13016694431185,246.9919679579325,1000,0,1.0,,0.2,0.6,100
78,0,pso,20260189,1.6,1.25,12000.0,24.858432393688766,15448.369940500006,24.490961031333804,-73.13014272670867,1234.6519901249558,1000,4,1.0,,0.2,0.6,100
85,0,pso,20260196,1.6,1.0,12000.0,24.635288842374557,15448.3757425,24.490922611488465,-73.11883269436338,247.38951858272776,1000,0,1.0,,0.2,0.6,100
86,0,pso,20260197,1.6,1.0,12000.0,24.635288842374557,15448.369939500004,24.49096103126521,-73.11882310479432,1229.219141874928,1000,4,1.0,,0.2,0.6,100
93,0,pso,20260204,1.6,0.8,12000.0,24.412145291060348,15448.370859500003,24.49096068906004,-73.1094298221587,245.66481087496504,1000,0,1.0,,0.2,0.6,100
94,0,pso,20260205,1.6,0.8,12000.0,24.412145291060348,15448.369939500004,24.490961031261676,-73.10942520716563,1230.514669624623,1000,4,1.0,,0.2,0.6,100
101,0,pso,20260212,1.6,0.64,12000.0,24.18900173974614,15448.3877415,24.490614388999077,-73.10207454248474,247.06179870897904,1000,0,1.0,,0.2,0.6,100
102,0,pso,20260213,1.6,0.64,12000.0,24.18900173974614,15448.3802505,24.49051493903281,-73.10206385907057,1233.5394126665778,1000,4,1.0,,0.2,0.6,100
109,0,pso,20260220,1.6,0.5,12000.0,23.942141661814613,15448.368099500003,24.490484734138082,-73.09641977614548,247.65523324999958,1000,0,1.0,,0.2,0.6,100
110,0,pso,20260221,1.6,0.5,12000.0,23.942141661814613,15448.368099500003,24.490484734138082,-73.09641977614548,1231.0147112910636,1000,4,1.0,,0.2,0.6,100
117,0,pso,20260228,1.25,2.0,9375.0,25.328436022934504,14447.392004500003,24.445202224079612,-76.50933887296145,246.88033358426765,1000,0,1.0,,0.2,0.6,100
118,0,pso,20260229,1.25,2.0,9375.0,25.328436022934504,14447.392004500003,24.445202224079612,-76.50933887296145,1232.9216143749654,1000,4,1.0,,0.2,0.6,100
125,0,pso,20260236,1.25,1.6,9375.0,25.10529247162029,14447.390736500001,24.445414961949893,-76.49393925845213,246.35537200002,1000,0,1.0,,0.2,0.6,100
126,0,pso,20260237,1.25,1.6,9375.0,25.10529247162029,14447.390736500001,24.445414961949893,-76.49393925845213,1233.03963595815,1000,4,1.0,,0.2,0.6,100
133,0,pso,20260244,1.25,1.25,9375.0,24.858432393688766,14447.392004500001,24.44520222407968,-76.4788623381783,250.17797412537038,1000,0,1.0,,0.2,0.6,100
134,0,pso,20260245,1.25,1.25,9375.0,24.858432393688766,14447.392004500001,24.44520222407968,-76.4788623381783,1271.227627250366,1000,4,1.0,,0.2,0.6,100
141,0,pso,20260252,1.25,1.0,9375.0,24.635288842374557,14447.370376500003,24.44531944088659,-76.46714115255418,250.6825737496838,1000,0,1.0,,0.2,0.6,100
142,0,pso,20260253,1.25,1.0,9375.0,24.635288842374557,14447.370376500003,24.44531944088659,-76.46714115255418,1276.4553295420483,1000,4,1.0,,0.2,0.6,100
149,0,pso,20260260,1.25,0.8,9375.0,24.412145291060348,14447.392004500007,24.44520222406821,-76.45731480535832,247.79395437519997,1000,0,1.0,,0.2,0.6,100
150,0,pso,20260261,1.25,0.8,9375.0,24.412145291060348,14447.392004500001,24.445202223991014,-76.45731480535821,1237.4463998330757,1000,4,1.0,,0.2,0.6,100
157,0,pso,20260268,1.25,0.64,9375.0,24.18900173974614,14447.392004500001,24.44520222399046,-76.44951145256418,247.020675082691,1000,0,1.0,,0.2,0.6,100
158,0,pso,20260269,1.25,0.64,9375.0,24.18900173974614,14447.392004500001,24.44520222399046,-76.44951145256418,1236.5942990002222,1000,4,1.0,,0.2,0.6,100
165,0,pso,20260276,1.25,0.5,9375.0,23.942141661814613,14447.388012500001,24.4450195763092,-76.44338770832022,1018.7449601250701,1000,0,1.0,,0.2,0.6,100
166,0,pso,20260277,1.25,0.5,9375.0,23.942141661814613,14447.392004500001,24.445202223990474,-76.44336981899667,4430.052567208186,1000,4,1.0,,0.2,0.6,100
173,0,pso,20260284,1.0,2.0,7500.0,25.328436022934504,13568.9749155,24.417151028307405,-82.56575585171558,246.948464541696,1000,0,1.0,,0.2,0.6,100
174,0,pso,20260285,1.0,2.0,7500.0,25.328436022934504,13568.970242500001,24.417151032579447,-82.56575499838878,1235.1357337082736,1000,4,1.0,,0.2,0.6,100
181,0,pso,20260292,1.0,1.6,7500.0,25.10529247162029,13568.9766815,24.417224806865626,-82.55011197186262,246.342729375232,1000,0,1.0,,0.2,0.6,100
182,0,pso,20260293,1.0,1.6,7500.0,25.10529247162029,13568.978382500001,24.417224892036465,-82.5501092787242,1232.4168907497078,1000,4,1.0,,0.2,0.6,100
189,0,pso,20260300,1.0,1.25,7500.0,24.858432393688766,13568.972117500001,24.417151080048953,-82.53478301412284,246.59356879163533,1000,0,1.0,,0.2,0.6,100
190,0,pso,20260301,1.0,1.25,7500.0,24.858432393688766,13568.970242500001,24.41715103257945,-82.53478251342487,1237.0128064160235,1000,4,1.0,,0.2,0.6,100
197,0,pso,20260308,1.0,1.0,7500.0,24.635288842374557,13568.9806845,24.417288535572528,-82.52280881397486,246.98349879216403,1000,0,1.0,,0.2,0.6,100
198,0,pso,20260309,1.0,1.0,7500.0,24.635288842374557,13568.9806845,24.417288535572528,-82.52280881397486,1236.2265373752452,1000,4,1.0,,0.2,0.6,100
205,0,pso,20260316,1.0,0.8,7500.0,24.412145291060348,13568.9813575,24.417151737809633,-82.5127347773288,247.3198498338461,1000,0,1.0,,0.2,0.6,100
206,0,pso,20260317,1.0,0.8,7500.0,24.412145291060348,13568.972117500001,24.417151079789864,-82.51272821006435,1236.890097249765,1000,4,1.0,,0.2,0.6,100
213,0,pso,20260324,1.0,0.64,7500.0,24.18900173974614,13568.9795625,24.4170160981836,-82.50465484804285,247.4555387077853,1000,0,1.0,,0.2,0.6,100
214,0,pso,20260325,1.0,0.64,7500.0,24.18900173974614,13568.977162500003,24.417015974941208,-82.5046541757296,1240.5076343342662,1000,4,1.0,,0.2,0.6,100
221,0,pso,20260332,1.0,0.5,7500.0,23.942141661814613,13568.977162500001,24.417015974941062,-82.4982030380004,251.05609354097396,1000,0,1.0,,0.2,0.6,100
222,0,pso,20260333,1.0,0.5,7500.0,23.942141661814613,13568.977162500001,24.417015974941062,-82.4982030380004,1371.4030907917768,1000,4,1.0,,0.2,0.6,100
229,0,pso,20260340,0.8,2.0,6000.0,25.328436022934504,9395.4930005,24.388126917947833,-91.00288986445157,285.47869545873255,1000,0,1.0,,0.2,0.6,100
230,0,pso,20260341,0.8,2.0,6000.0,25.328436022934504,9395.493715500003,24.388126986772022,-91.00288841529891,1242.2999351248145,1000,4,1.0,,0.2,0.6,100
237,0,pso,20260348,0.8,1.6,6000.0,25.10529247162029,9395.479319500004,24.38801358058801,-90.987009653139,289.797433916945,1000,0,1.0,,0.2,0.6,100
238,0,pso,20260349,0.8,1.6,6000.0,25.10529247162029,9395.475297500001,24.387990553979584,-90.98698757675908,1441.2210004171357,1000,4,1.0,,0.2,0.6,100
245,0,pso,20260356,0.8,1.25,6000.0,24.858432393688766,9395.4764665,24.38787186766729,-90.97138852874764,288.55564408330247,1000,0,1.0,,0.2,0.6,100
246,0,pso,20260357,0.8,1.25,6000.0,24.858432393688766,9395.476018350808,24.387990617060137,-90.97138225448458,1463.728858083021,1000,4,1.0,,0.2,0.6,100
253,0,pso,20260364,0.8,1.0,6000.0,24.635288842374557,9395.480950500001,24.387672129886056,-90.95915336013009,244.73808895796537,1000,0,1.0,,0.2,0.6,100
254,0,pso,20260365,0.8,1.0,6000.0,24.635288842374557,9395.480950500001,24.387672129886056,-90.95915336013009,1219.2182366251945,1000,4,1.0,,0.2,0.6,100
261,0,pso,20260372,0.8,0.8,6000.0,24.412145291060348,9395.490821371059,24.387442667548985,-90.94881775330633,255.3196970000863,1000,0,1.0,,0.2,0.6,100
262,0,pso,20260373,0.8,0.8,6000.0,24.412145291060348,9395.491644500004,24.387481376194962,-90.94881221357133,1280.8512273342349,1000,4,1.0,,0.2,0.6,100
269,0,pso,20260380,0.8,0.64,6000.0,24.18900173974614,9395.470404500003,24.387557165365052,-90.94046399541992,237.66773329069838,1000,0,1.0,,0.2,0.6,100
270,0,pso,20260381,0.8,0.64,6000.0,24.18900173974614,9395.4703475,24.387557193750908,-90.94046365708138,1193.946800292004,1000,4,1.0,,0.2,0.6,100
277,0,pso,20260388,0.8,0.5,6000.0,23.942141661814613,9395.452242500001,24.38745179210043,-90.9336970318764,236.51133854221553,1000,0,1.0,,0.2,0.6,100
278,0,pso,20260389,0.8,0.5,6000.0,23.942141661814613,9395.491644500002,24.38748137619167,-90.9336836522204,1180.860690208152,1000,4,1.0,,0.2,0.6,100
285,0,pso,20260396,0.64,2.0,4800.0,25.328436022934504,8561.275761500001,24.380589700126258,-96.9074103675656,233.23744145827368,1000,0,1.0,,0.2,0.6,100
286,0,pso,20260397,0.64,2.0,4800.0,25.328436022934504,8561.275761500001,24.380589700126258,-96.9074103675656,1273.4716772083193,1000,4,1.0,,0.2,0.6,100
293,0,pso,20260404,0.64,1.6,4800.0,25.10529247162029,8561.2883275,24.380507910893144,-96.89148053997681,235.27799174981192,1000,0,1.0,,0.2,0.6,100
