run_id,simulation_id,model,seed,scale_plume_factor,scale_mass_factor,plume_prior_mean,logm_prior_mean,plume_estimate,logm_estimate,best_posterior,runtime_sec,n_ens,n_assimilations,likelihood_sigma,print_every
781,0,es,20251905,0.4,0.4,3000.0,23.7189981105004,4776.0967122278735,24.20688654160543,,,100,1,0.6,1
782,0,es,20251906,0.4,0.4,3000.0,23.7189981105004,5867.396011375971,24.62592984720182,,,100,5,0.6,1
783,0,es,20251907,0.4,0.4,3000.0,23.7189981105004,4095.1079196066344,24.091544467229816,,,1000,1,0.6,1
784,0,es,20251908,0.4,0.4,3000.0,23.7189981105004,5922.491926445576,24.620277052351753,,,1000,5,0.6,1
765,0,es,20251889,0.4,0.5,3000.0,23.942141661814613,4776.0967122278735,24.20612426189795,,,100,1,0.6,1
766,0,es,20251890,0.4,0.5,3000.0,23.942141661814613,5864.276507166046,24.62598635180848,,,100,5,0.6,1
767,0,es,20251891,0.4,0.5,3000.0,23.942141661814613,4095.1079196066344,24.090069406104043,,,1000,1,0.6,1
768,0,es,20251892,0.4,0.5,3000.0,23.942141661814613,5922.844909120731,24.61997947401868,,,1000,5,0.6,1
749,0,es,20251873,0.4,0.6666666666666666,3000.0,24.229823734266393,4776.0967122278735,24.205128231349025,,,100,1,0.6,1
750,0,es,20251874,0.4,0.6666666666666666,3000.0,24.229823734266393,5860.327733213317,24.626059444296793,,,100,5,0.6,1
751,0,es,20251875,0.4,0.6666666666666666,3000.0,24.229823734266393,4095.1079196066344,24.08815722285425,,,1000,1,0.6,1
752,0,es,20251876,0.4,0.6666666666666666,3000.0,24.229823734266393,5923.236236155505,24.619602595118096,,,1000,5,0.6,1
733,0,es,20251857,0.4,1.0,3000.0,24.635288842374557,4776.0967122278735,24.203630159022364,,,100,1,0.6,1
734,0,es,20251858,0.4,1.0,3000.0,24.635288842374557,5854.88632489467,24.62616177991815,,,100,5,0.6,1
735,0,es,20251859,0.4,1.0,3000.0,24.635288842374557,4095.1079196066344,24.08543246587169,,,1000,1,0.6,1
736,0,es,20251860,0.4,1.0,3000.0,24.635288842374557,5922.670981754546,24.619274224820913,,,1000,5,0.6,1
717,0,es,20251841,0.4,1.5,3000.0,25.04075395048272,4776.0967122278735,24.202080045859987,,,100,1,0.6,1
718,0,es,20251842,0.4,1.5,3000.0,25.04075395048272,5849.3187978307105,24.62626016753698,,,100,5,0.6,1
719,0,es,20251843,0.4,1.5,3000.0,25.04075395048272,4095.1079196066344,24.082700299909277,,,1000,1,0.6,1
720,0,es,20251844,0.4,1.5,3000.0,25.04075395048272,5921.009869554931,24.619143358252305,,,1000,5,0.6,1
701,0,es,20251825,0.4,2.0,3000.0,25.328436022934504,4776.0967122278735,24.200947099216073,,,100,1,0.6,1
702,0,es,20251826,0.4,2.0,3000.0,25.328436022934504,5845.32632696386,24.62631792673122,,,100,5,0.6,1
703,0,es,20251827,0.4,2.0,3000.0,25.328436022934504,4095.1079196066344,24.080751191250695,,,1000,1,0.6,1
704,0,es,20251828,0.4,2.0,3000.0,25.328436022934504,5919.80441173999,24.619045999373224,,,1000,5,0.6,1
685,0,es,20251809,0.4,2.5,3000.0,25.551579574248713,4776.0967122278735,24.20016468402837,,,100,1,0.6,1
686,0,es,20251810,0.4,2.5,3000.0,25.551579574248713,5841.748800597146,24.62639867040759,,,100,5,0.6,1
687,0,es,20251811,0.4,2.5,3000.0,25.551579574248713,4095.1079196066344,24.079241396851295,,,1000,1,0.6,1
688,0,es,20251812,0.4,2.5,3000.0,25.551579574248713,5918.855024465318,24.61896878539946,,,1000,5,0.6,1
669,0,es,20251793,0.5,0.4,3750.0,23.7189981105004,5970.120890284842,24.103686589014625,,,100,1,0.6,1
670,0,es,20251794,0.5,0.4,3750.0,23.7189981105004,6471.3333445730605,24.54857401566385,,,100,5,0.6,1
671,0,es,20251795,0.5,0.4,3750.0,23.7189981105004,5118.8848995082935,23.952459052355803,,,1000,1,0.6,1
672,0,es,20251796,0.5,0.4,3750.0,23.7189981105004,6551.505901899293,24.566195134994544,,,1000,5,0.6,1
653,0,es,20251777,0.5,0.5,3750.0,23.942141661814613,5970.120890284842,24.102552505645345,,,100,1,0.6,1
654,0,es,20251778,0.5,0.5,3750.0,23.942141661814613,6466.2634309254245,24.548852004053938,,,100,5,0.6,1
655,0,es,20251779,0.5,0.5,3750.0,23.942141661814613,5118.8848995082935,23.95086345071419,,,1000,1,0.6,1
656,0,es,20251780,0.5,0.5,3750.0,23.942141661814613,6550.536593589913,24.566086705898968,,,1000,5,0.6,1
637,0,es,20251761,0.5,0.6666666666666666,3750.0,24.229823734266393,5970.120890284842,24.10106975354165,,,100,1,0.6,1
638,0,es,20251762,0.5,0.6666666666666666,3750.0,24.229823734266393,6459.7416406488255,24.549213909279025,,,100,5,0.6,1
