#HEIGHT SPEED DIRECTION
77.783508 3.827328 260.720154
300.571777 8.426426 258.707855
529.688171 11.489901 253.879791
763.124146 13.582911 248.764587
1001.483704 15.448116 244.437607
1245.656982 16.627581 242.385651
1496.106934 16.235596 244.826141
1753.017578 15.345127 248.868622
2016.813354 14.019403 252.025543
2287.891602 12.325583 253.686249
2566.692139 10.377085 253.840988
3148.880371 6.731412 253.526367
3766.485840 5.044528 268.572083
4423.186523 5.432527 273.867188
5124.194336 8.441032 273.535797
5879.083496 11.118240 289.430786
6699.800781 5.973870 324.401703
7597.647461 4.485490 22.539886
8585.103516 7.171679 68.851105
9684.128906 5.323186 136.283875
10950.063477 21.085211 137.983643
11660.943359 25.936464 126.778717
12436.222656 30.110405 122.754578
13291.348633 31.360264 111.066956
14246.079102 29.338953 98.652222
15328.003906 24.516462 119.982330
16599.875000 9.896622 94.117676
18605.521484 7.626511 314.587769
20602.078125 3.101824 205.675674
23784.285156 16.341721 247.910492
26437.408203 18.651413 262.995422
31132.916016 5.619380 236.021179
33609.500000 4.589395 274.947815
35976.269531 11.042232 297.048706
39755.351562 18.994967 283.723877
42861.792969 3.883844 244.976059
48300.597656 21.214520 113.902222
