Sample Information,,,,,,,,Mean Grain Size Characteristics,,,,,,Sample Weights and Fractions,,,,,,Grain Size Distribution of Each Sample (Fractions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Statistical Distribution Data,,,,,,,,,,,,Mean Shape Data of Each Sample,,,
,NAD83 UTM Zone 5,,,,,,,White & Houghton (2006),Folk & Ward (1957),,,,,,,,,,,Lower Size Limit (µm),0,1,1.4,2,2.8,3.9,5.5,7.8,11,15.6,22.1,31.3,44.2,62.5,88.4,125,176.8,250,353.6,500,707.1,1000,1414.2,2000,2828.4,4000,5656.9,8000,11313.7,16000,22627.4,32000,45254.8,,,,,Method of Moments,,,,Folk & Ward (1957),,,,,,,,
Sample Number,Easting,Northing,Distance from Approximate Center of 1924 Vent (m),Eruption,Thickness (cm),Distinctive Field Features,,Mean Grain Size,Mode,Sorting,Skewness,Kurtosis,,Total Dry Weight (g),>1 mm Fraction (g),<1 mm Fraction (g),P4 Fraction,X2 Fraction,,Upper Size Limit (µm),1,1.4,2,2.8,3.9,5.5,7.8,11,15.6,22.1,31.3,44.2,62.5,88.4,125,176.8,250,353.6,500,707.1,1000,1414.2,2000,2828.4,4000,5656.9,8000,11313.7,16000,22627.4,32000,45254.8,1000000,,D50 (µm),D50 (?),Inman Sorting (?),Mean (?),Sorting (?),Skewness (?),Kurtosis (?),Mean (?) ,Sorting (?),Skewness (?),Kurtosis (?),,Mean SPHT3,Mean b/l3,Mean Compct3,Mean RDNS_C3
K21-DD45C-2018,259607,2146565,1037,2018,4.0,,,Extremely Fine Ash,Unimodal,Poorly Sorted,Coarse Skewed,Platykurtic,,283.91,,283.91,,1.00,,,0.0010,0.0000,0.0020,0.0040,0.0100,0.0190,0.0330,0.0640,0.1080,0.1580,0.1650,0.1280,0.0840,0.0590,0.0470,0.0320,0.0210,0.0170,0.0170,0.0180,0.0120,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,38.66,4.69,1.46,4.46,1.63,-0.67,3.73,4.51,1.60,-0.23,0.80,,0.78,0.69,0.83,0.39
K21-DD45C-1,259607,2146565,1037,1924,1.0,,,Medium Ash,Polymodal,Very Poorly Sorted,Coarse Skewed,Platykurtic,,13.73,2.82,10.91,0.21,0.79,,,0.0000,0.0008,0.0000,0.0000,0.0016,0.0024,0.0048,0.0095,0.0175,0.0318,0.0445,0.0581,0.0568,0.0607,0.0798,0.0849,0.0775,0.0687,0.0685,0.0710,0.0605,0.0506,0.0379,0.0198,0.0092,0.0070,0.0000,0.0761,0.0000,0.0000,0.0000,0.0000,0.0000,,308.18,1.70,2.50,1.51,2.51,-0.31,2.70,1.63,2.61,-0.12,0.73,,0.77,0.68,0.82,0.34
K21-DD45C-2,259607,2146565,1037,1924,5.0,,,Coarse Ash,Polymodal,Very Poorly Sorted,Fine Skewed,Very Platykurtic,,141.25,56.36,84.89,0.40,0.60,,,0.0000,0.0006,0.0000,0.0000,0.0012,0.0024,0.0048,0.0108,0.0198,0.0349,0.0499,0.0507,0.0472,0.0504,0.0510,0.0510,0.0453,0.0410,0.0494,0.0548,0.0511,0.0662,0.0727,0.0628,0.0599,0.0497,0.0456,0.0267,0.0000,0.0000,0.0000,0.0000,0.0000,,657.03,0.61,3.17,0.88,2.78,0.19,1.95,0.86,2.89,0.11,0.56,,0.80,0.71,0.83,0.36
K21-DD45C-3,259607,2146565,1037,1924,1.5,,,Coarse Ash,Trimodal,Very Poorly Sorted,Fine Skewed,Platykurtic,,139.02,42.31,96.71,0.30,0.70,,,0.0007,0.0000,0.0000,0.0007,0.0021,0.0035,0.0063,0.0111,0.0160,0.0223,0.0278,0.0251,0.0202,0.0238,0.0329,0.0454,0.0641,0.0870,0.1065,0.1067,0.0938,0.0945,0.0913,0.0614,0.0299,0.0150,0.0094,0.0025,0.0000,0.0000,0.0000,0.0000,0.0000,,717.46,0.48,2.13,0.82,2.21,0.79,3.33,0.73,2.19,0.24,0.71,,0.81,0.71,0.83,0.38
K21-DD45C-4,259607,2146565,1037,1924,3.5,,,Medium Ash,Bimodal,Very Poorly Sorted,Very Fine Skewed,Very Platykurtic,,139.10,40.10,99.00,0.29,0.71,,,0.0000,0.0007,0.0007,0.0014,0.0036,0.0064,0.0114,0.0185,0.0249,0.0320,0.0349,0.0257,0.0207,0.0158,0.0237,0.0357,0.0591,0.0876,0.1125,0.1097,0.0901,0.0879,0.0737,0.0547,0.0314,0.0199,0.0174,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,674.73,0.57,2.63,1.02,2.44,0.76,3.00,1.11,2.55,0.30,0.64,,0.81,0.71,0.83,0.36
K21-DD45C-4a,259607,2146565,1037,1924,1.5,Red colored base,,Medium Ash,Bimodal,Very Poorly Sorted,Very Fine Skewed,Very Platykurtic,,65.99,13.60,52.39,0.21,0.79,,,0.0000,0.0000,0.0008,0.0016,0.0032,0.0064,0.0111,0.0175,0.0238,0.0294,0.0333,0.0254,0.0230,0.0191,0.0295,0.0446,0.0724,0.1064,0.1278,0.1191,0.0917,0.0771,0.0619,0.0395,0.0267,0.0042,0.0044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,576.37,0.79,2.34,1.23,2.26,0.81,3.17,1.26,2.32,0.31,0.67,,0.80,0.70,0.83,0.36
K21-DD45C-4b,259607,2146565,1037,1924,2.0,,,Very Coarse Ash,Bimodal,Very Poorly Sorted,Fine Skewed,Mesokurtic,,42.19,18.23,23.96,0.43,0.57,,,0.0000,0.0000,0.0006,0.0011,0.0023,0.0034,0.0062,0.0091,0.0108,0.0131,0.0136,0.0102,0.0069,0.0062,0.0091,0.0153,0.0301,0.0602,0.1073,0.1314,0.1242,0.1098,0.1019,0.0795,0.0582,0.0226,0.0371,0.0297,0.0000,0.0000,0.0000,0.0000,0.0000,,1192.08,-0.25,1.62,-0.06,2.14,1.14,4.98,-0.29,2.04,0.12,1.02,,0.81,0.71,0.83,0.37
K21-DD45C-5,259607,2146565,1037,1924,5.0,Accretionary lapilli bearing,,Very Coarse Ash,Unimodal,Poorly Sorted,Symmetrical,Platykurtic,,142.70,68.73,73.97,0.48,0.52,,,0.0000,0.0000,0.0005,0.0005,0.0016,0.0031,0.0041,0.0052,0.0052,0.0062,0.0052,0.0047,0.0031,0.0032,0.0042,0.0078,0.0166,0.0374,0.0783,0.1401,0.1760,0.1567,0.1453,0.0965,0.0518,0.0258,0.0193,0.0017,0.0000,0.0000,0.0000,0.0000,0.0000,,1406.20,-0.49,1.18,-0.34,1.66,1.87,8.95,-0.50,1.31,0.08,0.83,,0.82,0.72,0.83,0.37
