easting,northing,mass_value
526774,1381087,324.22
526774,1381087,184.96
526028,1380972,207.68
526028,1380972,48.62
525477,1380291,311.62
525477,1380291,164.61
524516,1379866,105.25
524516,1379866,144.53
523595,1379462,174.94
523595,1379462,70.36
522674,1379481,189.75
522674,1379481,37.02
521642,1379304,171.6
520715,1378964,120.24
519877,1378201,62.85
520742,1379432,160.82
520990,1380130,155.96
520892,1381127,167.18
521902,1382109,71.26
522118,1379921,157.04
523973,1380489,87.57
523973,1380489,168.83
525162,1380976,255.77
525544,1381476,121.42
525544,1381476,128.81
525760,1382320,152.96
524400,1382378,275.93
523387,1382182,193.02
522453,1381550,147.72
521894,1380712,170.75
529889,1379931,246.92
529139,1380417,831.91
528622,1380874,1432.94
527524,1380945,737.68
526823,1381601,149.18
526823,1381601,243.91
526524,1381709,112.1
526524,1381709,225.68
524433,1381454,80.41
524433,1381454,166.62
523722,1381349,276.09
528142,1381657,277.94
528142,1381657,421.0
530232,1382772,269.34
530232,1382772,99.09
530418,1383102,753.29
531371,1382795,656.8
531371,1382795,238.85
529666,1383245,302.7
529666,1383245,106.16
528975,1383175,383.48
522302,1377932,142.72
528159,1380191,919.83
527137,1380167,679.33
526109,1380543,362.99
526109,1380543,193.95
525983,1379744,452.74
525983,1379744,97.12
523983,1378749,246.08
523174,1379228,250.31
522536,1378550,367.06
521505,1378499,274.43
521747,1377510,250.43
522806,1377761,146.92
523894,1377922,238.07
524826,1378577,284.53
525759,1378887,225.22
526664,1378620,328.88
527927,1379208,434.37
528574,1379238,215.71
530429,1379430,343.03
531058,1380228,97.82
530597,1380732,141.89
530597,1380732,254.13
531201,1381246,164.32
531201,1381246,143.34
530293,1381534,1872.39
529451,1381172,1498.81
530518,1380992,620.23
521537,1376665,89.4
522559,1376999,12.45
523856,1377173,38.16
524591,1377489,107.42
525564,1377877,328.26
526899,1379123,321.21
524505,1380950,171.98
524505,1380950,107.05
522646,1380659,288.55
526416,1382894,117.66
526416,1382894,337.11
527536,1383362,562.2
527796,1382127,835.7
527021,1381806,541.1
528675,1382740,419.25
528763,1384430,116.63
526617,1379772,641.81
