easting,northing,mass_value
259607,2146565,2374.7599999999998
259696,2146558,12123.35
259823,2146543,6443.59
259894,2146658,2280.28
259897,2146279,3825.1
260093,2146602,2340.32
260128,2146392,1210.37
260135,2146046,1572.1100000000001
260185,2148629,1215.7
260250,2146159,1060.13
260290,2146578,1063.3899999999999
260462,2148785,1236.08
260551,2146707,1879.99
260663,2148318,1452.52
260794,2148225,705.3100000000001
260815,2149409,292.59000000000003
260827,2148935,969.05
260962,2149233,351.88
261048,2149103,1837.98
261059,2147426,317.38
261185,2148285,311.9
261278,2148951,918.5
261412,2148181,237.02
261424,2149569,328.26
261493,2149161,487.23
261548,2147602,322.96999999999997
261637,2147855,948.78
261740,2147605,427.67
261766,2147424,451.34
261791,2149328,474.19
262179,2147631,267.41
262179,2147957,373.88
262230,2148173,344.24
263157,2147996,123.68
