#HEIGHT SPEED DIRECTION
126.168900 6.927363 242.481049
344.053711 7.170973 242.324524
566.896545 7.174952 241.291580
794.592957 6.831509 239.404541
1027.656494 6.204552 237.543793
1510.645264 4.962710 229.830170
2018.327148 3.529344 209.428207
2553.978516 2.574178 170.529236
3122.537354 3.008561 130.131104
3728.650391 4.004912 110.147614
4377.434570 4.852817 102.067566
5074.065430 5.284760 100.454071
5825.072266 6.018291 101.878479
6639.834473 7.277348 103.726624
7530.729980 9.390638 101.452606
8514.886719 13.065185 98.731995
9617.531250 18.287466 96.715668
10875.421875 23.220350 96.857666
12344.837891 26.988289 98.447540
14128.372070 29.101847 97.693787
16488.841797 20.736341 94.614258
18568.281250 8.466824 90.678833
20584.898438 2.902029 278.836060
23732.484375 10.677640 272.539795
26321.511719 12.251677 276.312317
30931.941406 9.772549 278.234619
35790.585938 10.411222 288.476410
48193.660156 26.020882 277.506958
