#HEIGHT SPEED DIRECTION
145.004471 1.280360 304.301208
361.114258 1.330839 302.469269
583.216736 1.150560 297.068665
810.648071 1.178760 300.125031
1043.813599 1.222274 305.101013
1283.082153 1.122157 302.015167
1529.304443 0.632738 298.063751
1781.669678 0.144496 146.980438
2040.705078 0.209858 120.120880
2306.793701 0.815680 127.974854
2580.281006 1.274958 128.588257
3151.278809 3.097933 117.757355
3757.395752 5.546358 111.559021
4403.290039 8.994529 105.073975
5094.942871 13.471944 100.328522
5840.598633 17.781536 99.018066
6651.094727 19.730757 98.315033
7540.939941 21.093946 97.108887
8527.381836 29.572697 101.252686
9643.406250 40.577713 95.506561
10919.449219 39.932629 80.697998
11629.833008 38.556320 75.413422
12402.022461 37.548004 80.390381
13251.126953 37.755978 91.241486
14194.973633 37.212254 98.080048
15274.789062 33.180973 86.407501
16559.228516 22.589453 88.423340
18620.605469 12.323091 100.090729
20652.898438 7.621240 198.936432
23871.437500 8.130875 267.468628
26531.341797 8.273628 275.525909
31194.175781 9.953943 229.870438
33659.734375 18.788744 279.964111
36049.085938 8.121236 265.837036
39806.792969 13.250262 250.310944
42909.863281 12.917418 279.313049
48236.878906 22.110645 273.591095
