#HEIGHT SPEED DIRECTION
131.081360 5.556187 258.859253
349.706604 5.774261 258.877930
573.544312 5.660400 261.631866
802.571777 5.067745 267.657532
1037.261108 4.278616 277.598267
1524.150513 2.959471 303.046692
2035.893799 2.411542 354.742859
2575.638184 3.698607 33.729065
3146.855713 5.438692 47.317291
3753.819580 6.800861 54.534302
4401.457031 8.249368 60.528778
5095.378906 9.405766 65.646484
5843.881836 10.817113 68.021667
6656.954102 12.743643 68.318634
7547.978516 15.225762 69.118561
8534.434570 17.855309 71.668335
9639.861328 20.541044 74.210114
10898.508789 23.511745 77.177856
12364.666992 26.656448 81.773010
14143.903320 29.742790 83.896942
16512.265625 22.254070 81.176605
18589.552734 7.384642 55.917175
20597.566406 4.917389 288.095825
23733.666016 10.633543 265.168488
26316.226562 10.595242 270.335083
30929.650391 8.782697 279.169861
35786.398438 10.230821 284.718872
48164.074219 23.289682 277.548340
