#HEIGHT SPEED DIRECTION
111.077927 2.700464 307.386353
329.279144 2.754373 308.087891
552.533630 2.565803 309.809509
780.685730 2.188120 314.686523
1014.050232 1.577287 328.902435
1498.207397 1.517789 32.626587
2007.305420 3.012690 65.481598
2544.643066 4.684227 70.390259
3113.985840 6.501870 72.808716
3720.401123 7.962704 75.787537
4369.210449 9.249584 78.257721
5065.509277 10.340315 79.962189
5816.388184 11.487105 81.813812
6631.331055 13.398455 83.426147
7523.006836 16.212727 84.639343
8508.943359 19.856871 85.173767
9614.073242 24.451998 85.783142
10874.206055 27.904352 87.671478
12343.672852 30.305445 90.976349
14127.087891 32.917667 90.684448
16492.845703 23.863197 88.794281
18568.318359 9.117316 70.607483
20582.253906 3.978689 313.208740
23730.589844 11.848185 276.304443
26328.189453 13.170015 268.867371
30946.066406 12.717503 266.842102
35792.390625 15.930586 261.462952
48163.273438 17.839401 245.859314
