#HEIGHT SPEED DIRECTION
116.778915 4.171646 253.548767
340.834351 6.395875 253.038177
569.924683 7.012273 252.442596
803.154114 7.653692 251.147949
1040.986328 8.814802 248.708847
1283.918335 11.827356 245.228027
1532.960815 13.748705 247.043396
1788.772583 11.985913 249.221603
2051.388672 9.744046 250.702148
2320.953857 7.755686 251.495819
2597.664062 6.552657 249.362518
3174.031738 6.255422 253.140686
3786.113525 4.521450 262.970886
4437.959473 2.079547 224.989105
5135.279785 1.126078 268.501007
5886.358887 3.190121 325.287537
6700.246582 2.965560 174.191833
7595.410156 10.235708 89.096252
8588.750000 11.327413 56.566223
9697.589844 13.984541 58.462738
10960.964844 17.613546 60.909363
11666.377930 17.629246 25.433899
12434.522461 22.882582 26.969421
13283.681641 19.510214 66.389496
14231.908203 19.572166 75.796783
15323.532227 22.735415 70.795593
16613.603516 14.696751 99.675964
18625.972656 6.011933 287.847168
20610.269531 9.865745 239.585541
23827.820312 15.515471 271.640686
26461.921875 21.453739 277.576355
31116.853516 2.570901 75.640961
33568.957031 4.250125 143.977203
35956.683594 11.712152 250.215469
39738.675781 10.650849 267.353699
42809.910156 3.670034 306.184052
48096.417969 22.727346 97.988403
