#HEIGHT SPEED DIRECTION
80.888039 2.008941 250.290375
302.260895 5.364944 248.010147
529.752136 8.613624 245.073395
761.944275 11.462619 247.412308
999.617432 13.433013 256.780273
1243.315796 13.701591 262.184204
1493.121582 13.251937 261.196625
1749.382935 12.271721 257.445038
2012.674561 10.935901 253.577271
2283.286377 9.456901 250.544556
2561.427979 8.153008 248.027222
3141.317627 7.379825 250.335342
3756.195801 7.995066 260.853790
4410.725586 7.155324 279.856659
5111.757812 2.272969 282.225098
5866.955078 0.988779 91.023682
6684.615723 3.694685 31.991669
7578.892578 6.405032 53.611847
8561.330078 11.943275 64.333282
9663.730469 12.990178 77.136353
10927.270508 25.924343 103.519318
11639.010742 21.959461 78.157135
12415.051758 24.354275 45.695679
13270.885742 29.157042 28.791931
14225.431641 19.856863 51.880737
15305.201172 18.610394 70.467438
16571.451172 11.160171 77.502258
18597.966797 1.931947 253.421738
20572.375000 4.854020 298.081940
23761.767578 12.985786 264.168823
26374.904297 14.453799 260.580261
31062.091797 5.042167 197.667496
33496.238281 8.889461 246.055496
35884.449219 5.192039 258.307098
39630.429688 18.534990 244.345337
42751.679688 6.401410 175.163452
48070.984375 15.535390 99.116577
