#HEIGHT SPEED DIRECTION
135.917786 2.381962 41.484070
352.164825 2.444178 39.212158
574.581421 2.542818 39.269135
802.278076 2.687075 43.563782
1035.713379 2.768002 48.959473
1275.213623 2.893888 53.253601
1521.715942 3.485832 46.146240
1774.779419 3.990242 51.517334
2034.547852 4.721905 57.066803
2301.277100 5.256464 63.708740
2575.296143 5.735869 69.469666
3146.645508 7.311107 78.932831
3751.689697 9.455454 84.163391
4395.696777 11.155835 82.542969
5086.499512 12.436493 76.635437
5833.509766 14.367363 70.855896
6645.948730 17.428843 74.004913
7535.395020 21.254604 81.002289
8518.447266 24.399515 87.427429
9621.217773 33.871655 82.324493
10892.402344 47.112480 72.315704
11603.544922 47.575081 70.206696
12375.016602 47.702652 73.019958
13221.393555 47.955757 78.771240
14163.897461 47.326591 79.606873
15242.867188 38.481266 76.204224
16532.474609 28.928701 68.598816
18632.042969 7.848149 61.073547
20685.230469 10.023276 286.168335
23945.138672 20.138090 256.687714
26592.181641 21.529089 253.776794
31233.632812 20.093851 259.666626
33681.121094 18.551666 268.799225
36027.070312 17.338892 278.234650
39731.097656 15.261599 275.671539
42772.765625 5.026560 264.581543
48204.921875 7.558712 222.624893
