#HEIGHT SPEED DIRECTION
118.891785 2.328334 30.042328
334.898926 2.477970 28.336243
557.022766 2.735278 30.533539
784.345764 3.147993 27.178925
1017.268860 3.351376 29.855011
1256.132202 3.670349 31.296600
1501.791382 4.951746 39.045776
1753.974243 5.496125 45.703552
2012.806274 6.157361 55.695221
2278.622803 6.493695 64.757721
2551.768799 6.696646 73.989563
3121.548096 8.227899 87.365509
3725.864014 9.172343 90.612366
4370.135254 8.704816 88.055084
5061.672852 8.626822 78.674561
5808.461426 9.594375 68.432495
6619.704590 11.218647 67.858185
7508.069824 15.038559 74.202942
8489.921875 24.172680 78.431824
9596.130859 40.175846 76.508850
10869.204102 45.509090 77.231323
11578.402344 46.482708 79.019470
12349.212891 45.705544 76.106873
13197.701172 45.273884 70.783875
14142.485352 44.072926 72.079529
15217.291992 40.509781 70.445862
16500.748047 27.824301 84.449951
18604.689453 10.448102 60.388824
20655.099609 7.289078 279.917358
23902.443359 18.514984 274.686096
26577.199219 21.046011 270.143463
31227.128906 19.429911 281.410645
33659.082031 17.391188 256.232025
36010.097656 21.248272 267.122070
39713.941406 8.102531 280.431824
42786.175781 6.297621 194.769867
48102.578125 19.359838 232.824982
