#HEIGHT SPEED DIRECTION
74.381378 4.355283 267.308960
298.432434 9.053337 265.807434
529.184692 11.819245 261.097839
764.215149 13.449038 254.167664
1004.078613 14.416044 246.915009
1249.188232 15.171177 240.186066
1499.888184 15.397017 233.257446
1756.785156 14.480714 232.364685
2020.452881 13.372530 238.972855
2291.236572 12.344970 246.922623
2569.657227 11.124062 253.460907
3151.631104 7.639471 266.400269
3770.468750 4.996970 282.565857
4428.356445 4.861154 276.996460
5130.414551 7.771115 276.476318
5885.813965 10.328349 287.463348
6705.689453 5.435214 311.615601
7602.645508 2.166060 3.717346
8590.027344 6.807412 69.795258
9690.189453 8.350664 136.451477
10954.819336 27.733664 143.071106
11664.563477 28.742271 137.027222
12439.279297 30.185282 126.754333
13295.571289 31.842144 117.278290
14251.660156 32.068840 109.794891
15335.453125 25.962486 120.778870
16607.658203 8.396951 95.861603
18616.656250 9.233913 309.478333
20626.671875 2.237072 227.137466
23812.570312 13.963550 244.512726
26430.523438 17.437901 261.076813
31122.388672 8.036941 265.877075
33622.195312 7.149045 251.936295
35995.273438 8.545677 267.072937
39765.472656 17.322990 286.014404
42884.019531 3.601812 8.782990
48283.132812 25.167210 106.838623
